Questions,Unnamed: 1,Unnamed: 2,Unnamed: 3,duplicate,tags
"Can you describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.  What did you learn from this project?",,,,True,"['projects', 'learn project', 'academic projects']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What are the different data types you are familiar with in your preferred programming language? Give examples of each.,,,,True,"['data', 'data types', 'programming language']"
"Describe the concept of an algorithm and provide a simple example of an algorithm you can implement (e.g., finding the largest number in a list).",,,,True,"['algorithm', 'algorithm implement', 'example algorithm']"
What is a relational database?  What are some examples of relational database management systems (RDBMS)?,,,,True,"['database management', 'relational database', 'database examples']"
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"['select insert', 'sql', 'update delete', 'delete sql']"
What is Git and why is it important in software development?,,,,True,"['git', 'software development', 'git important']"
"Describe the common Git commands you use for adding, committing, and pushing changes to a remote repository.",,,,False,"['common git', 'git', 'git commands']"
"What is a Git branch, and why are branches useful in collaborative software development?",,,,True,"['git', 'git branch', 'branch branches', 'branches useful']"
Can you explain the key features of Core Java?,,,,False,"['java', 'features core', 'core java']"
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",,,,True,"['projects', 'projects explain', 'academic projects', 'one']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"['linked list', 'array linked', 'list advantages']"
Explain the difference between lists and tuples in Python. When would you choose one over the other?,,,,True,"['lists tuples', 'one', 'tuples python', 'python', 'tuples']"
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"['sql query', 'gpa', 'sql', 'gpa greater', 'students gpa']"
"Can you describe one of your academic projects?  Focus on your role, the technologies used, any challenges you faced, and what you learned from the experience.  If you used version control (like Git), explain how you used it.",,,,False,"['like git', 'git', 'academic projects', 'version control']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
"Describe the concept of a stack and a queue, and give real-world examples of where you might see them used.",,,,True,"['queue', 'stack queue', 'stack']"
What is the difference between an array and a linked list?  What are the advantages and disadvantages of each?,,,,True,"['linked list', 'array linked', 'list advantages']"
What is a relational database?  Give an example of a relational database management system (RDBMS).,,,,True,"['database example', 'database management', 'relational database']"
Write a simple SQL query to select all rows from a table named `users` where the `age` is greater than 25.,,,,True,"['sql', 'users age', 'simple sql', 'sql query']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL statements.",,,,True,"['sql', 'sql statements', 'update delete', 'delete sql']"
"What is Git, and why is it important for software development?",,,,True,"['git', 'software development', 'git important']"
"Describe the common Git commands you use for branching, merging, and committing changes.  (e.g., `git branch`, `git merge`, `git commit`, `git push`, `git pull`) ",,,,False,"['branch git', 'git', 'git commands', 'commit git']"
"What is a Git repository, and how do you create one?",,,,False,"['git repository', 'git', 'repository create']"
"Walk me through your most challenging academic project.  Explain your role, the technologies used, any problems you encountered, and how you solved them.",,,,True,"['academic project', 'technologies', 'challenging academic']"
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer one over the other?,,,,True,"['statement switch', 'switch statement', 'switch', 'one']"
What is the difference between a compiler and an interpreter? Give an example of a language using each.,,,,False,"['interpreter', 'compiler interpreter', 'interpreter example']"
"Describe what a data structure is and give examples of at least three common data structures (e.g., array, linked list).  Mention a scenario where each would be preferred.",,,,False,"['data structures', 'data structure', 'structure examples', 'at least three']"
What is a relational database? What is a SQL query and what is its purpose?,,,,True,"['sql', 'database sql', 'database', 'relational database']"
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"['sql', 'update delete', 'sql commands', 'delete sql']"
What is Git and why is it important for software development?,,,,True,"['git', 'software development', 'git important']"
"Explain the difference between `git add`, `git commit`, and `git push`.",,,,True,"['commit git', 'git commit', 'git push']"
Describe a scenario where you would use `git branch` and `git merge`.,,,,False,"['branch git', 'git merge', 'git branch']"
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",,,,True,"['projects', 'projects explain', 'academic projects', 'one']"
What are the main features of Java?,,,,True,"['java', 'main features', 'features java']"
Explain the concept of Object-Oriented Programming and how Java implements it.,,,,True,"['programming java', 'object oriented', 'object-oriented programming', 'java']"
Can you explain the difference between '== Operator' and '.equals()' method in Java?,,,,True,"['operator equals', 'java', 'equals method', 'equals']"
What is a Java Virtual Machine (JVM) and how does it work?,,,,False,"['jvm', 'java virtual', 'machine jvm']"
Write a Java function to reverse a string.,,,,True,"['java', 'reverse string', 'java function', 'function reverse']"
Describe the concepts of inheritance and polymorphism in Java with examples.,,,,False,"['inheritance polymorphism', 'polymorphism java', 'java', 'java examples']"
What are exceptions in Java? How do you handle exceptions?,,,,True,"['java', 'handle exceptions', 'exceptions java', 'exceptions']"
Explain the difference between ArrayList and LinkedList in Java.,,,,True,"['java', 'linkedlist', 'arraylist linkedlist', 'arraylist', 'linkedlist java']"
What is a Java Stream and how can it be used to process collections?,,,,False,"['process collections', 'java stream', 'stream used']"
Can you explain what multithreading is in Java and provide an example?,,,,False,"['multithreading java', 'java', 'multithreading', 'explain multithreading']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,,,,True,"['linked list', 'array linked', 'list advantages']"
What is the difference between compilation and interpretation in the context of programming languages?,,,,False,"['compilation interpretation', 'interpretation context', 'difference compilation']"
What is a relational database?  Give an example of a relational database management system (RDBMS).,,,,True,"['database example', 'database management', 'relational database']"
Write a SQL query to select all students from a `students` table who have a GPA greater than 3.5.,,,,False,"['gpa', 'table gpa', 'sql', 'select students', 'students table']"
Explain the concept of normalization in databases. Why is it important?,,,,True,"['concept normalization', 'normalization', 'normalization databases']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
How does Java achieve platform independence?,,,,True,"['java', 'does java', 'platform independence']"
"Describe the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",,,,True,"['basic git', 'git', 'git commands', 'commit git']"
"Explain a typical software development lifecycle (SDLC) model.  (e.g., Waterfall, Agile).",,,,True,"['lifecycle sdlc', 'waterfall, agile', 'sdlc', 'software development', 'development lifecycle']"
"Describe one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you faced.",,,,True,"['projects', 'projects explain', 'academic projects', 'one']"
Can you explain the difference between a pointer and a reference in C++?,,,,False,"['c++', 'difference pointer', 'pointer', 'pointer reference']"
Write a C++ function to reverse a string.,,,,True,"['reverse', 'c++', 'reverse string', 'function reverse']"
What are the main differences between HTML and XHTML?,,,,False,"['xhtml', 'differences html', 'html xhtml', 'html']"
Describe how you would create a simple HTML form to collect user information.,,,,False,"['html form', 'simple html', 'html']"
"What is normalization in MySQL, and why is it important?",,,,False,"['normalization', 'mysql important', 'normalization mysql']"
Write a SQL query to retrieve the top 5 highest salaries from a 'Employees' table.,,,,False,"['salaries employees', 'salaries', 'sql', 'highest salaries']"
Can you explain what a class is in C++ and how you would define one?,,,,False,"['c++', 'class', 'class define', 'explain class']"
What are some common HTML tags used for structuring a webpage?,,,,False,"['common html', 'html tags', 'html']"
How can you prevent SQL injection attacks in MySQL?,,,,False,"['sql', 'prevent sql', 'attacks mysql', 'sql injection']"
Explain the concept of inheritance in C++.,,,,True,"['c++', 'inheritance', 'explain concept', 'concept inheritance']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three key principles of OOP.,,,,True,"['object oriented', 'oriented programming', 'programming oop', 'object-oriented programming', 'three']"
What is a data structure? Briefly explain at least two common data structures and when you might use them.,,,,True,"['data', 'data structures', 'data structure', 'at least two']"
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"['database tables', 'database', 'relational database']"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"['sql', 'left join', 'join sql', 'inner join']"
What is Git?  What are some common Git commands you've used?,,,,False,"['common git', 'git', 'git commands']"
Explain the difference between `git commit` and `git push`.,,,,True,"['commit git', 'git commit', 'git push']"
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC methodologies.,,,,True,"['lifecycle sdlc', 'at least three', 'sdlc methodologies', 'sdlc', 'development lifecycle']"
What is polymorphism in Java? Can you give an example?,,,,False,"['polymorphism', 'polymorphism java', 'java', 'java example']"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you encountered.",,,,True,"['approach technologies', 'projects explain', 'academic projects']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
"What are the basic data types in your preferred programming language (e.g., Python, Java, C++)? Provide examples of when you would use each.",,,,True,"['basic data', 'data types', 'java', 'python', 'programming language']"
"Describe the concept of an algorithm.  Can you explain a simple algorithm, such as finding the largest number in a list?",,,,True,"['simple algorithm', 'algorithm', 'algorithm explain']"
"What is a relational database? What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, INSERT, UPDATE, DELETE)?",,,,True,"['database sql', 'select', 'sql', 'relational database', 'update']"
Explain the concept of normalization in databases. Why is it important?,,,,True,"['concept normalization', 'normalization', 'normalization databases']"
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"['sql query', 'gpa', 'sql', 'gpa greater', 'students gpa']"
"What is Git, and why is it important in software development?  Have you used Git before? If so, can you describe a common Git workflow?",,,,False,"['git', 'git workflow', 'git important']"
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"['commit git', 'git commit', 'git push']"
Describe a typical software development lifecycle (SDLC). What are some common phases involved?,,,,True,"['software development', 'sdlc', 'lifecycle sdlc', 'development lifecycle']"
"Walk me through your most challenging academic project.  Explain the problem you solved, the technologies you used, and any challenges you encountered.",,,,False,"['challenging academic', 'solved technologies', 'challenges encountered']"
Explain the difference between `==` and `===` in JavaScript (or equivalent operators in your preferred language).,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What are the different data structures you are familiar with? Can you describe one and give an example of when you might use it?,,,,False,"['data', 'data structures', 'different data']"
Describe the concept of object-oriented programming (OOP) and give an example of its use in a simple program.,,,,False,"['oop example', 'object oriented', 'programming oop']"
"What is a relational database?  What are tables, rows, and columns?",,,,True,"['database tables', 'database', 'relational database']"
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"['sql', 'update delete', 'sql commands', 'delete sql']"
Describe your experience with Git.  What are some common Git commands you use?,,,,True,"['git', 'experience git', 'git commands']"
"What is the purpose of branching in Git?  Explain the workflow of creating a new branch, making changes, and merging it back into the main branch.",,,,False,"['git', 'git explain', 'branching git', 'purpose branching']"
Explain a typical software development lifecycle (SDLC).  What are some of the phases involved?,,,,True,"['sdlc', 'lifecycle sdlc', 'sdlc phases', 'development lifecycle']"
"Describe one of your academic projects.  Explain the problem you were solving, your approach, and the technologies you used. What challenges did you encounter and how did you overcome them?",,,,False,"['projects', 'projects explain', 'academic projects', 'one']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What is the difference between an array and a linked list? When would you choose one over the other?,,,,True,"['array', 'linked list', 'one', 'array linked']"
"Describe the concept of Big O notation.  Give examples of O(n), O(log n), and O(n^2) algorithms.",,,,False,"['big notation', 'log algorithms', 'notation examples']"
What is a relational database? What are some of its advantages and disadvantages?,,,,False,"['database', 'database advantages', 'relational database']"
Write a SQL query to select all users from a table named 'users' where the age is greater than 25.,,,,True,"['select users', 'sql', 'age greater', 'users age']"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"['sql', 'left join', 'join sql', 'inner join']"
"What is Git? Explain the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",,,,True,"['basic git', 'git', 'git explain', 'git commands']"
What is a merge conflict and how would you resolve it?,,,,False,"['conflict resolve', 'merge conflict', 'merge']"
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies (e.g., Agile, Waterfall)?",,,,True,"['agile', 'lifecycle sdlc', 'sdlc', 'development lifecycle', 'methodologies agile']"
"Walk me through your most challenging academic project.  What technologies did you use? What problems did you encounter, and how did you overcome them?",,,,True,"['academic project', 'project technologies', 'challenging academic']"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"['interpreter', 'compiler interpreter', 'interpreter example']"
Describe your understanding of data structures.  Can you give examples of a few common ones and when you might use them?,,,,False,"['understanding data', 'data structures', 'structures examples']"
What are some key features of JavaScript that make it suitable for front-end development?  Can you give an example of using one of these features?,,,,False,"['features javascript', 'javascript', 'javascript make']"
"Have you worked with any databases before? If so, which ones?  Can you describe a simple SQL query you might use to retrieve data?",,,,False,"['sql', 'databases', 'databases ones', 'worked databases']"
"Tell me about a front-end project you are most proud of.  What were the challenges, and how did you overcome them? What technologies did you use?",,,,False,"['project proud', 'overcome technologies', 'proud challenges']"
"In your project, did you work in a team? If so, describe your role and how you collaborated with others. What did you learn from the team experience?",,,,False,"['role collaborated', 'team experience', 'team role']"
Describe a time you had to explain a technical concept to someone who didn't have a technical background. How did you approach it?,,,,False,"['technical concept', 'explain technical', 'technical background']"
Why are you interested in this role and our company?,,,,False,"['role', 'role company', 'interested role']"
Discuss the significance of header files in C programming. What are the implications of using them?,,,,False,"['header', 'header files', 'files programming']"
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",,,,True,"['css javascript', 'javascript', 'difference html', 'html']"
What are some common tools or techniques you would use for debugging JavaScript code?,,,,True,"['debugging', 'debugging javascript', 'use debugging']"
Describe your understanding of responsive web design. What are some common approaches to achieving it?,,,,False,"['responsive web', 'responsive', 'understanding responsive']"
"Are you familiar with any JavaScript frameworks or libraries (e.g., React, Angular, Vue)? If so, which one(s) and what is your experience level?",,,,False,"['familiar javascript', 'javascript', 'javascript frameworks', 'one(s']"
What is your experience with version control systems like Git? Can you describe a scenario where you used Git for a project?,,,,True,"['git scenario', 'git', 'like git', 'git project']"
Explain the concept of DOM manipulation.  Give a simple example of how you might use JavaScript to change something on a webpage.,,,,False,"['dom manipulation', 'javascript', 'use javascript', 'dom']"
"Tell me about a frontend project you've worked on (academic or personal).  Walk me through the challenges you faced, your solutions, and what you learned from the experience.",,,,False,"['tell frontend', 'frontend project', 'frontend']"
"Why are you interested in this Frontend Engineer role, and what are your career aspirations?",,,,False,"['frontend engineer', 'engineer role', 'engineer']"
"Describe a time you worked on a team project. What was your role, and how did you contribute to the team's success?  Were there any conflicts, and how did you handle them?",,,,False,"['team project', 'project role', 'worked team']"
Tell me about a time you failed. What did you learn from that experience?,,,,False,"['learn experience', 'failed did', 'failed']"
How do you handle pressure and tight deadlines?,,,,True,"['deadlines', 'handle pressure', 'tight deadlines']"
What are your preferred ways of learning and staying up-to-date with new technologies in frontend development?,,,,False,"['frontend development', 'technologies frontend', 'frontend']"
What is the difference between a pointer and a normal variable in C?,,,,False,"['pointer normal', 'difference pointer', 'pointer']"
Can you explain how memory allocation works in C? What are malloc() and free() used for?,,,,False,"['malloc free', 'explain memory', 'memory allocation']"
What is the purpose of the 'static' keyword in C? How does it affect variable scope and lifetime?,,,,False,"['purpose static', 'static', 'static keyword']"
Describe the lifecycle of a C program from start to finish. What are the key stages?,,,,False,"['lifecycle program', 'lifecycle', 'program start']"
Could you explain the difference between structure (struct) and union in C?,,,,False,"['struct union', 'struct', 'structure struct']"
How does the preprocessor work in C? What are its common directives?,,,,False,"['preprocessor work', 'does preprocessor', 'preprocessor']"
"What are function pointers, and how are they used in C?",,,,False,"['function pointers', 'pointers', 'pointers used']"
Explain the concept of segmentation and fragmentation in relation to memory management in C.,,,,False,"['fragmentation', 'segmentation fragmentation', 'memory management']"
What is undefined behavior in C? Can you provide some examples?,,,,False,"['undefined behavior', 'undefined', 'behavior']"
Explain the concept of method overloading and method overriding in Java.,,,,True,"['method overloading', 'overloading method', 'java', 'method overriding']"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"['compilation interpretation', 'interpreted language', 'compiled language']"
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",,,,True,"['algorithm', 'algorithm simple', 'algorithm like']"
"What are the basic data types commonly used in programming? (e.g., integers, floats, strings, booleans)",,,,True,"['types commonly', 'data types', 'basic data']"
"In Python, explain the difference between a list and a tuple. When would you choose one over the other?",,,,True,"['tuple choose', 'python explain', 'one', 'list tuple']"
Explain the concept of function in Python and give a simple example of a function that takes two numbers as input and returns their sum.,,,,False,"['python simple', 'two', 'example function', 'python', 'function python']"
What is a relational database?  What is a SQL query? Give a simple example of a SQL query to select all rows from a table named 'Students'.,,,,True,"['example sql', 'database sql', 'sql', 'relational database']"
"Can you briefly describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.",,,,False,"['projects', 'academic projects', 'projects focus']"
Can you explain the difference between lists and tuples in Python?,,,,True,"['lists tuples', 'python', 'tuples python', 'tuples']"
What is list comprehension and can you provide a brief example of its use?,,,,False,"['comprehension', 'list comprehension', 'comprehension provide']"
"How do Python decorators work, and why are they used?",,,,True,"['decorators work', 'python decorators', 'decorators']"
What are the main differences between Python 2 and Python 3?,,,,False,"['python python', 'differences python', 'python', 'python 2 and python 3']"
Explain the concept of lambda functions in Python. When would you use them?,,,,False,"['lambda', 'python', 'lambda functions', 'concept lambda']"
What are Python's built-in data types? Can you give examples?,,,,False,"['types examples', 'data types', 'python', 'python built']"
Can you describe what an exception is in Python and how exception handling works?,,,,False,"['exception handling', 'python exception', 'python', 'exception python']"
What is the purpose of the 'self' parameter in class methods?,,,,False,"['class methods', 'self parameter', 'parameter class']"
How does the with statement help in resource management in Python?,,,,False,"['python', 'management python', 'resource management']"
Can you explain what generators are in Python and how they differ from regular functions?,,,,False,"['generators python', 'explain generators', 'generators', 'python']"
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer to use one over the other?,,,,True,"['statement switch', 'switch statement', 'switch', 'one']"
What is the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language)?,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
Describe the concept of a data structure. Give examples of at least three common data structures and when you might use them.,,,,False,"['data structures', 'data structure', 'structure examples', 'at least three']"
"Explain the concept of recursion.  Give a simple example of a recursive function (e.g., calculating a factorial).",,,,False,"['example recursive', 'recursion', 'recursive function']"
What are exceptions in Java and how are they handled?,,,,False,"['java handled', 'java', 'exceptions java', 'exceptions']"
What is a relational database? What are some examples of relational database management systems (RDBMS)?,,,,True,"['database management', 'relational database', 'database examples']"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"['select insert', 'sql', 'update delete', 'delete sql']"
What is a database index?  Why would you use one?,,,,False,"['database index', 'index', 'index use']"
Explain the concept of database normalization. Why is it important?,,,,True,"['normalization important', 'normalization', 'database normalization']"
Describe your experience with Git.  What are some common Git commands you use?,,,,True,"['git', 'experience git', 'git commands']"
Explain the difference between `git merge` and `git rebase`.,,,,True,"['merge git', 'git merge', 'git rebase']"
What is a branching strategy in Git?  Describe a common branching strategy you are familiar with.,,,,False,"['git', 'branching', 'strategy git', 'branching strategy']"
"Walk me through one of your academic projects.  Describe the problem you were solving, your approach, and the technologies you used.",,,,True,"['approach technologies', 'projects', 'academic projects']"
"What was your role in this project?  What challenges did you face, and how did you overcome them?",,,,True,"['role project', 'challenges', 'project challenges']"
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",,,,True,"['css javascript', 'javascript', 'difference html', 'html']"
"What are some common HTML tags you've used, and what do they do?",,,,False,"['common html', 'html tags', 'html']"
Describe your understanding of CSS selectors and how you would use them to style specific elements on a webpage.,,,,False,"['understanding css', 'css', 'css selectors', 'selectors use']"
Explain the concept of DOM manipulation in JavaScript.  Can you provide a simple example?,,,,False,"['manipulation javascript', 'dom manipulation', 'javascript', 'dom']"
"Have you worked with any JavaScript frameworks or libraries (e.g., React, Angular, Vue.js)? If so, which one(s) and what are your experiences?",,,,False,"['js experiences', 'vue js', 'angular', 'vue.js', 'javascript frameworks']"
"What is responsive web design, and why is it important?  How would you approach making a website responsive?",,,,True,"['responsive web', 'responsive', 'website responsive']"
"Explain your understanding of version control systems, particularly Git. Have you used Git in your projects?",,,,True,"['git', 'used git', 'git projects', 'version control']"
Describe your experience with debugging JavaScript code. What tools or techniques do you find helpful?,,,,False,"['debugging', 'debugging javascript', 'experience debugging']"
"Are you familiar with any front-end build tools (e.g., Webpack, Parcel)? If so, what are their benefits?",,,,False,"['webpack', 'tools webpack', 'webpack, parcel', 'build tools']"
"Walk me through one of your academic projects.  Describe your role, the technologies used, and any challenges you faced.",,,,True,"['projects', 'technologies', 'academic projects']"
"In a group project, how did you handle disagreements or conflicts among team members?  What was your role in resolving those conflicts?",,,,False,"['conflicts team', 'disagreements conflicts', 'handle disagreements']"
"What is the difference between JDK, JRE, and JVM?",,,,True,"['jdk', 'jre', 'difference jdk', 'jvm', 'jdk jre']"
"Why are you interested in this Frontend Engineer role, and what are your career goals?",,,,False,"['frontend engineer', 'engineer role', 'engineer']"
Describe your preferred work style and how you work best in a team environment.,,,,False,"['team environment', 'work style', 'team']"
Tell me about a time you had to learn a new technology or skill quickly. How did you approach it?,,,,False,"['new technology', 'technology skill', 'learn new']"
What are your strengths and weaknesses as a developer?,,,,False,"['weaknesses developer', 'strengths weaknesses', 'developer']"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"['javascript equivalent', 'difference javascript', 'javascript']"
What are the differences between an array and a linked list? When would you choose one over the other?,,,,True,"['array', 'linked list', 'one', 'array linked']"
"Describe the concept of recursion.  Give a simple example (e.g., calculating a factorial).",,,,False,"['recursion simple', 'recursion', 'concept recursion']"
What is a relational database?  What are some common types of relational database management systems (RDBMS)?,,,,True,"['database management', 'systems rdbms', 'relational database']"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"['sql', 'age column', 'users age', 'simple sql']"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"['sql', 'left join', 'join sql', 'inner join']"
"What is Git, and why is it important in software development?",,,,True,"['git', 'software development', 'git important']"
