Questions,Duplicate,Tags,Difficulty Level,duplicate,tags,difficulty_score,difficulty_level
"Describe the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",,,,True,"git,git commands,commit git,basic git",1.9,Easy
"Explain a typical software development lifecycle (SDLC) model.  (e.g., Waterfall, Agile).",,,,True,"development lifecycle,sdlc,waterfall, agile,software development,lifecycle sdlc",5.2,Medium
"Describe one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you faced.",,,,True,"academic projects,projects,one,projects explain",2.3,Easy
Can you explain the difference between a pointer and a reference in C++?,,,,False,"pointer,pointer reference,difference pointer,c++",2.6,Easy
Write a C++ function to reverse a string.,,,,True,"reverse string,c++,reverse,function reverse",1.9,Easy
What are the main differences between HTML and XHTML?,,,,False,"html xhtml,html,xhtml,differences html",1.8,Easy
Describe how you would create a simple HTML form to collect user information.,,,,False,"simple html,html,html form",3.0,Easy
"What is normalization in MySQL, and why is it important?",,,,False,"mysql important,normalization,normalization mysql",2.0,Easy
Write a SQL query to retrieve the top 5 highest salaries from a 'Employees' table.,,,,False,"sql,salaries employees,salaries,highest salaries",2.0,Easy
Can you explain what a class is in C++ and how you would define one?,,,,False,"class,c++,class define,explain class",1.0,Easy
What are some common HTML tags used for structuring a webpage?,,,,False,"html,html tags,common html",2.0,Easy
How can you prevent SQL injection attacks in MySQL?,,,,False,"sql,sql injection,prevent sql,attacks mysql",2.5,Easy
Explain the concept of inheritance in C++.,,,,True,"explain concept,c++,concept inheritance,inheritance",3.3,Medium
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three key principles of OOP.,,,,True,"object-oriented programming,oriented programming,oop,object oriented,three",3.6,Medium
What is a data structure? Briefly explain at least two common data structures and when you might use them.,,,,True,"data structures,at least two,data structure,data",1.5,Easy
"What is a relational database? What are tables, rows, and columns in a relational database?",,,,True,"database tables,database,relational database",3.0,Medium
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"sql,inner join,left join,join sql",2.9,Easy
What is Git?  What are some common Git commands you've used?,,,,False,"git,git commands,common git",1.3,Easy
Explain the difference between `git commit` and `git push`.,,,,True,"git push,commit git,git commit",2.8,Easy
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC methodologies.,,,,True,"at least three,development lifecycle,sdlc methodologies,sdlc,lifecycle sdlc",4.1,Medium
What is polymorphism in Java? Can you give an example?,,,,False,"java example,java,polymorphism,polymorphism java",2.1,Easy
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you encountered.",,,,True,"academic projects,projects explain,approach technologies",2.3,Easy
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
"What are the basic data types in your preferred programming language (e.g., Python, Java, C++)? Provide examples of when you would use each.",,,,True,"java,data types,programming language,python,basic data",2.1,Easy
"Describe the concept of an algorithm.  Can you explain a simple algorithm, such as finding the largest number in a list?",,,,True,"algorithm explain,simple algorithm,algorithm",2.3,Easy
"What is a relational database? What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, INSERT, UPDATE, DELETE)?",,,,True,"database sql,select,update,relational database,basic sql",2.2,Easy
Explain the concept of normalization in databases. Why is it important?,,,,True,"normalization,normalization databases,concept normalization",2.8,Easy
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,,,,True,"students gpa,3.5,gpa,gpa greater,sql",1.8,Easy
"What is Git, and why is it important in software development?  Have you used Git before? If so, can you describe a common Git workflow?",,,,False,"git,git important,git workflow",1.8,Easy
"Explain the difference between `git commit`, `git push`, and `git pull`.",,,,True,"git push,commit git,git commit",2.8,Easy
Describe a typical software development lifecycle (SDLC). What are some common phases involved?,,,,True,"sdlc,software development,lifecycle sdlc,development lifecycle",3.8,Medium
"Walk me through your most challenging academic project.  Explain the problem you solved, the technologies you used, and any challenges you encountered.",,,,False,"challenges encountered,solved technologies,challenging academic",2.1,Easy
Explain the difference between `==` and `===` in JavaScript (or equivalent operators in your preferred language).,,,,True,"javascript,difference javascript,javascript equivalent",3.5,Medium
What are the different data structures you are familiar with? Can you describe one and give an example of when you might use it?,,,,False,"different data,data structures,data",1.7,Easy
Describe the concept of object-oriented programming (OOP) and give an example of its use in a simple program.,,,,False,"object oriented,oop example,programming oop",3.6,Medium
"What is a relational database?  What are tables, rows, and columns?",,,,True,"database tables,database,relational database",2.2,Easy
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",,,,True,"update delete,delete sql,sql,sql commands",2.8,Easy
Describe your experience with Git.  What are some common Git commands you use?,,,,True,"git,git commands,experience git",2.2,Easy
"What is the purpose of branching in Git?  Explain the workflow of creating a new branch, making changes, and merging it back into the main branch.",,,,False,"git,purpose branching,branching git,git explain",1.7,Easy
Explain a typical software development lifecycle (SDLC).  What are some of the phases involved?,,,,True,"sdlc,sdlc phases,lifecycle sdlc,development lifecycle",3.3,Medium
"Describe one of your academic projects.  Explain the problem you were solving, your approach, and the technologies you used. What challenges did you encounter and how did you overcome them?",,,,False,"academic projects,projects,one,projects explain",1.8,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",3.0,Easy
What is the difference between an array and a linked list? When would you choose one over the other?,,,,True,"array,array linked,linked list,one",1.3,Easy
"Describe the concept of Big O notation.  Give examples of O(n), O(log n), and O(n^2) algorithms.",,,,False,"log algorithms,notation examples,big notation",2.5,Easy
What is a relational database? What are some of its advantages and disadvantages?,,,,False,"database,database advantages,relational database",2.7,Easy
Write a SQL query to select all users from a table named 'users' where the age is greater than 25.,,,,True,"sql,age greater,select users,users age",1.5,Easy
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"sql,inner join,left join,join sql",2.9,Easy
"What is Git? Explain the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",,,,True,"git,git commands,git explain,basic git",1.9,Easy
What is a merge conflict and how would you resolve it?,,,,False,"conflict resolve,merge,merge conflict",1.0,Easy
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies (e.g., Agile, Waterfall)?",,,,True,"development lifecycle,agile,sdlc,methodologies agile,lifecycle sdlc",4.0,Medium
"Walk me through your most challenging academic project.  What technologies did you use? What problems did you encounter, and how did you overcome them?",,,,True,"challenging academic,project technologies,academic project",1.5,Easy
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,,,,True,"compiler interpreter,interpreter example,interpreter",2.6,Easy
Describe your understanding of data structures.  Can you give examples of a few common ones and when you might use them?,,,,False,"data structures,structures examples,understanding data",2.0,Easy
What are some key features of JavaScript that make it suitable for front-end development?  Can you give an example of using one of these features?,,,,False,"javascript,features javascript,javascript make",2.1,Easy
"Have you worked with any databases before? If so, which ones?  Can you describe a simple SQL query you might use to retrieve data?",,,,False,"databases ones,worked databases,databases,sql",1.3,Easy
"Tell me about a front-end project you are most proud of.  What were the challenges, and how did you overcome them? What technologies did you use?",,,,False,"project proud,overcome technologies,proud challenges",1.0,Easy
"In your project, did you work in a team? If so, describe your role and how you collaborated with others. What did you learn from the team experience?",,,,False,"team experience,role collaborated,team role",1.5,Easy
Describe a time you had to explain a technical concept to someone who didn't have a technical background. How did you approach it?,,,,False,"technical background,explain technical,technical concept",2.0,Easy
Why are you interested in this role and our company?,,,,False,"role company,interested role,role",2.0,Easy
Discuss the significance of header files in C programming. What are the implications of using them?,,,,False,"header,files programming,header files",3.3,Medium
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",,,,True,"javascript,html,css javascript,difference html",2.4,Easy
What are some common tools or techniques you would use for debugging JavaScript code?,,,,True,"debugging javascript,use debugging,debugging",1.9,Easy
Describe your understanding of responsive web design. What are some common approaches to achieving it?,,,,False,"responsive,understanding responsive,responsive web",2.9,Easy
"Are you familiar with any JavaScript frameworks or libraries (e.g., React, Angular, Vue)? If so, which one(s) and what is your experience level?",,,,False,"javascript frameworks,familiar javascript,one(s,javascript",2.5,Easy
What is your experience with version control systems like Git? Can you describe a scenario where you used Git for a project?,,,,True,"git,git project,git scenario,like git",2.5,Easy
Explain the concept of DOM manipulation.  Give a simple example of how you might use JavaScript to change something on a webpage.,,,,False,"javascript,dom manipulation,use javascript,dom",2.5,Easy
"Tell me about a frontend project you've worked on (academic or personal).  Walk me through the challenges you faced, your solutions, and what you learned from the experience.",,,,False,"frontend,frontend project,tell frontend",1.9,Easy
"Why are you interested in this Frontend Engineer role, and what are your career aspirations?",,,,False,"engineer,engineer role,frontend engineer",3.4,Medium
"Describe a time you worked on a team project. What was your role, and how did you contribute to the team's success?  Were there any conflicts, and how did you handle them?",,,,False,"worked team,team project,project role",1.3,Easy
Tell me about a time you failed. What did you learn from that experience?,,,,False,"failed did,learn experience,failed",1.0,Easy
How do you handle pressure and tight deadlines?,,,,True,"handle pressure,deadlines,tight deadlines",1.8,Easy
What are your preferred ways of learning and staying up-to-date with new technologies in frontend development?,,,,False,"frontend,technologies frontend,frontend development",3.3,Medium
What is the difference between a pointer and a normal variable in C?,,,,False,"pointer,difference pointer,pointer normal",2.6,Easy
Can you explain how memory allocation works in C? What are malloc() and free() used for?,,,,False,"explain memory,memory allocation,malloc free",1.7,Easy
What is the purpose of the 'static' keyword in C? How does it affect variable scope and lifetime?,,,,False,"static,purpose static,static keyword",1.6,Easy
Describe the lifecycle of a C program from start to finish. What are the key stages?,,,,False,"lifecycle,lifecycle program,program start",2.0,Easy
Could you explain the difference between structure (struct) and union in C?,,,,False,"struct,struct union,structure struct",2.4,Easy
How does the preprocessor work in C? What are its common directives?,,,,False,"preprocessor,does preprocessor,preprocessor work",2.0,Easy
"What are function pointers, and how are they used in C?",,,,False,"pointers,function pointers,pointers used",1.3,Easy
Explain the concept of segmentation and fragmentation in relation to memory management in C.,,,,False,"fragmentation,memory management,segmentation fragmentation",5.2,Medium
What is undefined behavior in C? Can you provide some examples?,,,,False,"undefined,behavior,undefined behavior",2.4,Easy
Explain the concept of method overloading and method overriding in Java.,,,,True,"method overriding,overloading method,java,method overloading",3.4,Medium
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,,,,True,"compilation interpretation,compiled language,interpreted language",4.7,Medium
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",,,,True,"algorithm like,algorithm simple,algorithm",1.8,Easy
"What are the basic data types commonly used in programming? (e.g., integers, floats, strings, booleans)",,,,True,"basic data,data types,types commonly",2.9,Easy
"In Python, explain the difference between a list and a tuple. When would you choose one over the other?",,,,True,"list tuple,tuple choose,python explain,one",1.4,Easy
Explain the concept of function in Python and give a simple example of a function that takes two numbers as input and returns their sum.,,,,False,"python simple,two,function python,example function,python",3.0,Easy
What is a relational database?  What is a SQL query? Give a simple example of a SQL query to select all rows from a table named 'Students'.,,,,True,"database sql,example sql,sql,relational database",2.2,Easy
"Can you briefly describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.",,,,False,"academic projects,projects focus,projects",1.6,Easy
Can you explain the difference between lists and tuples in Python?,,,,True,"tuples,lists tuples,tuples python,python",2.7,Easy
What is list comprehension and can you provide a brief example of its use?,,,,False,"list comprehension,comprehension provide,comprehension",2.2,Easy
"How do Python decorators work, and why are they used?",,,,True,"decorators,decorators work,python decorators",1.3,Easy
What are the main differences between Python 2 and Python 3?,,,,False,"python python,differences python,python,python 2 and python 3",1.7,Easy
Explain the concept of lambda functions in Python. When would you use them?,,,,False,"lambda,python,concept lambda,lambda functions",1.3,Easy
What are Python's built-in data types? Can you give examples?,,,,False,"types examples,python,data types,python built",1.5,Easy
Can you describe what an exception is in Python and how exception handling works?,,,,False,"exception python,python,exception handling,python exception",2.5,Easy
What is the purpose of the 'self' parameter in class methods?,,,,False,"self parameter,class methods,parameter class",2.8,Easy
How does the with statement help in resource management in Python?,,,,False,"python,management python,resource management",2.7,Easy
Can you explain what generators are in Python and how they differ from regular functions?,,,,False,"explain generators,python,generators,generators python",2.3,Easy
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer to use one over the other?,,,,True,"statement switch,one,switch,switch statement",1.7,Easy
What is the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language)?,,,,True,"javascript,difference javascript,javascript equivalent",2.5,Easy
Describe the concept of a data structure. Give examples of at least three common data structures and when you might use them.,,,,False,"data structures,at least three,structure examples,data structure",2.2,Easy
"Explain the concept of recursion.  Give a simple example of a recursive function (e.g., calculating a factorial).",,,,False,"recursive function,example recursive,recursion",3.5,Medium
What are exceptions in Java and how are they handled?,,,,False,"exceptions java,exceptions,java handled,java",1.7,Easy
What is a relational database? What are some examples of relational database management systems (RDBMS)?,,,,True,"database examples,database management,relational database",3.9,Medium
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",,,,True,"update delete,select insert,delete sql,sql",2.6,Easy
What is a database index?  Why would you use one?,,,,False,"database index,index use,index",1.0,Easy
Explain the concept of database normalization. Why is it important?,,,,True,"normalization important,normalization,database normalization",3.2,Medium
Describe your experience with Git.  What are some common Git commands you use?,,,,True,"git,git commands,experience git",2.2,Easy
Explain the difference between `git merge` and `git rebase`.,,,,True,"git merge,merge git,git rebase",2.5,Easy
What is a branching strategy in Git?  Describe a common branching strategy you are familiar with.,,,,False,"branching,strategy git,git,branching strategy",2.3,Easy
"Walk me through one of your academic projects.  Describe the problem you were solving, your approach, and the technologies you used.",,,,True,"academic projects,projects,approach technologies",1.8,Easy
"What was your role in this project?  What challenges did you face, and how did you overcome them?",,,,True,"role project,project challenges,challenges",1.0,Easy
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",,,,True,"javascript,html,css javascript,difference html",2.4,Easy
"What are some common HTML tags you've used, and what do they do?",,,,False,"html,html tags,common html",1.0,Easy
Describe your understanding of CSS selectors and how you would use them to style specific elements on a webpage.,,,,False,"css selectors,css,selectors use,understanding css",3.1,Medium
Explain the concept of DOM manipulation in JavaScript.  Can you provide a simple example?,,,,False,"javascript,dom manipulation,dom,manipulation javascript",3.1,Medium
"Have you worked with any JavaScript frameworks or libraries (e.g., React, Angular, Vue.js)? If so, which one(s) and what are your experiences?",,,,False,"javascript frameworks,js experiences,vue.js,vue js,javascript",2.1,Easy
"What is responsive web design, and why is it important?  How would you approach making a website responsive?",,,,True,"responsive,responsive web,website responsive",2.3,Easy
"Explain your understanding of version control systems, particularly Git. Have you used Git in your projects?",,,,True,"git projects,git,used git,version control",3.5,Medium
Describe your experience with debugging JavaScript code. What tools or techniques do you find helpful?,,,,False,"experience debugging,debugging javascript,debugging",2.5,Easy
"Are you familiar with any front-end build tools (e.g., Webpack, Parcel)? If so, what are their benefits?",,,,False,"webpack, parcel,build tools,webpack,tools webpack",1.9,Easy
"Walk me through one of your academic projects.  Describe your role, the technologies used, and any challenges you faced.",,,,True,"academic projects,projects,technologies",1.4,Easy
"In a group project, how did you handle disagreements or conflicts among team members?  What was your role in resolving those conflicts?",,,,False,"conflicts team,disagreements conflicts,handle disagreements",2.4,Easy
"What is the difference between JDK, JRE, and JVM?",,,,True,"jdk jre,jvm,difference jdk,jre,jdk",1.9,Easy
"Why are you interested in this Frontend Engineer role, and what are your career goals?",,,,False,"engineer,engineer role,frontend engineer",2.8,Easy
Describe your preferred work style and how you work best in a team environment.,,,,False,"work style,team,team environment",2.3,Easy
Tell me about a time you had to learn a new technology or skill quickly. How did you approach it?,,,,False,"new technology,learn new,technology skill",1.3,Easy
What are your strengths and weaknesses as a developer?,,,,False,"weaknesses developer,developer,strengths weaknesses",2.8,Easy
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,,,,True,"javascript,difference javascript,javascript equivalent",2.6,Easy
What are the differences between an array and a linked list? When would you choose one over the other?,,,,True,"array,array linked,linked list,one",1.3,Easy
"Describe the concept of recursion.  Give a simple example (e.g., calculating a factorial).",,,,False,"concept recursion,recursion simple,recursion",3.7,Medium
What is a relational database?  What are some common types of relational database management systems (RDBMS)?,,,,True,"systems rdbms,database management,relational database",3.5,Medium
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,,,,True,"sql,age column,simple sql,users age",1.9,Easy
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,,,,True,"sql,inner join,left join,join sql",2.9,Easy
"What is Git, and why is it important in software development?",,,,True,"git,git important,software development",2.3,Easy
