Questions,duplicate,tags
What is a data structure?  Name three common data structures and briefly describe when you might use each one.,TRUE,"common data,data structure,data structures,three"
"What is a relational database? What are tables, rows, and columns in a relational database?",TRUE,"database tables,database,relational database"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,TRUE,"sql,join sql,left join,inner join"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Describe the common Git commands you've used (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`, `git branch`).",TRUE,"git,commit git,git commands,git commit"
Explain the concept of branching in Git and why it's useful.,TRUE,"branching,git,git useful,branching git"
"Walk me through one of your academic projects. Describe the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",TRUE,"approach technologies,academic projects,projects"
Explain the difference between compilation and interpretation in the context of programming languages.  Can you give an example of a compiled language and an interpreted language?,TRUE,"compiled language,compilation interpretation,interpreted language"
What is the difference between a stack and a queue data structure?  When would you choose one over the other?,TRUE,"difference stack,stack queue,one,queue data"
"In Python, explain the difference between a list and a tuple.  When would you use each?",TRUE,"list tuple,tuple use,python explain"
Write a simple SQL query to retrieve all rows from a table named 'Customers' where the 'Country' column is 'USA'.,TRUE,"sql query,country column,usa,customers country,sql"
"Can you describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.  What did you learn from this project?",TRUE,"learn project,academic projects,projects"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What are the different data types you are familiar with in your preferred programming language? Give examples of each.,TRUE,"data,programming language,data types"
"Describe the concept of an algorithm and provide a simple example of an algorithm you can implement (e.g., finding the largest number in a list).",TRUE,"example algorithm,algorithm implement,algorithm"
What is a relational database?  What are some examples of relational database management systems (RDBMS)?,TRUE,"database management,database examples,relational database"
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",TRUE,"delete sql,update delete,sql,select insert"
What is Git and why is it important in software development?,TRUE,"git,software development,git important"
"Describe the common Git commands you use for adding, committing, and pushing changes to a remote repository.",FALSE,"git,git commands,common git"
"What is a Git branch, and why are branches useful in collaborative software development?",TRUE,"git,branches useful,branch branches,git branch"
Can you explain the key features of Core Java?,FALSE,"java,features core,core java"
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you encountered.",TRUE,"projects explain,academic projects,projects,one"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,TRUE,"array linked,list advantages,linked list"
Explain the difference between lists and tuples in Python. When would you choose one over the other?,TRUE,"lists tuples,python,one,tuples python,tuples"
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,TRUE,"students gpa,sql query,gpa,3.5,gpa greater"
"Can you describe one of your academic projects?  Focus on your role, the technologies used, any challenges you faced, and what you learned from the experience.  If you used version control (like Git), explain how you used it.",FALSE,"academic projects,git,version control,like git"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
"Describe the concept of a stack and a queue, and give real-world examples of where you might see them used.",TRUE,"queue,stack,stack queue"
What is the difference between an array and a linked list?  What are the advantages and disadvantages of each?,TRUE,"array linked,list advantages,linked list"
What is a relational database?  Give an example of a relational database management system (RDBMS).,TRUE,"database management,database example,relational database"
Write a simple SQL query to select all rows from a table named `users` where the `age` is greater than 25.,TRUE,"simple sql,sql query,users age,sql"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL statements.",TRUE,"delete sql,sql statements,update delete,sql"
"What is Git, and why is it important for software development?",TRUE,"git,software development,git important"
"Describe the common Git commands you use for branching, merging, and committing changes.  (e.g., `git branch`, `git merge`, `git commit`, `git push`, `git pull`) ",FALSE,"commit git,git,branch git,git commands"
"What is a Git repository, and how do you create one?",FALSE,"repository create,git,git repository"
"Walk me through your most challenging academic project.  Explain your role, the technologies used, any problems you encountered, and how you solved them.",TRUE,"academic project,challenging academic,technologies"
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer one over the other?,TRUE,"statement switch,switch,switch statement,one"
What is the difference between a compiler and an interpreter? Give an example of a language using each.,FALSE,"compiler interpreter,interpreter example,interpreter"
"Describe what a data structure is and give examples of at least three common data structures (e.g., array, linked list).  Mention a scenario where each would be preferred.",FALSE,"structure examples,data structure,data structures,at least three"
What is a relational database? What is a SQL query and what is its purpose?,TRUE,"database sql,database,sql,relational database"
Write a simple SQL query to retrieve all rows from a table named 'Users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",TRUE,"sql,delete sql,sql commands,update delete"
What is Git and why is it important for software development?,TRUE,"git,software development,git important"
"Explain the difference between `git add`, `git commit`, and `git push`.",TRUE,"commit git,git push,git commit"
Describe a scenario where you would use `git branch` and `git merge`.,FALSE,"branch git,git branch,git merge"
"Can you walk me through one of your academic projects?  Explain the problem you were solving, your approach, the technologies you used, and any challenges you faced.",TRUE,"projects explain,academic projects,projects,one"
What are the main features of Java?,TRUE,"features java,java,main features"
Explain the concept of Object-Oriented Programming and how Java implements it.,TRUE,"object oriented,java,programming java,object-oriented programming"
Can you explain the difference between '== Operator' and '.equals()' method in Java?,TRUE,"equals method,java,equals,operator equals"
What is a Java Virtual Machine (JVM) and how does it work?,FALSE,"java virtual,machine jvm,jvm"
Write a Java function to reverse a string.,TRUE,"reverse string,java,java function,function reverse"
Describe the concepts of inheritance and polymorphism in Java with examples.,FALSE,"java examples,inheritance polymorphism,java,polymorphism java"
What are exceptions in Java? How do you handle exceptions?,TRUE,"exceptions,java,handle exceptions,exceptions java"
Explain the difference between ArrayList and LinkedList in Java.,TRUE,"arraylist linkedlist,java,linkedlist java,arraylist,linkedlist"
What is a Java Stream and how can it be used to process collections?,FALSE,"stream used,java stream,process collections"
Can you explain what multithreading is in Java and provide an example?,FALSE,"java,multithreading,multithreading java,explain multithreading"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
Describe the concept of an array and a linked list. What are the advantages and disadvantages of each?,TRUE,"array linked,list advantages,linked list"
What is the difference between compilation and interpretation in the context of programming languages?,FALSE,"interpretation context,compilation interpretation,difference compilation"
What is a relational database?  Give an example of a relational database management system (RDBMS).,TRUE,"database management,database example,relational database"
Write a SQL query to select all students from a `students` table who have a GPA greater than 3.5.,FALSE,"select students,gpa,3.5,table gpa,sql"
Explain the concept of normalization in databases. Why is it important?,TRUE,"concept normalization,normalization,normalization databases"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
How does Java achieve platform independence?,TRUE,"does java,java,platform independence"
"Describe the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",TRUE,"git,commit git,git commands,basic git"
"Explain a typical software development lifecycle (SDLC) model.  (e.g., Waterfall, Agile).",TRUE,"development lifecycle,waterfall, agile,lifecycle sdlc,sdlc,software development"
"Describe one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you faced.",TRUE,"projects explain,academic projects,projects,one"
Can you explain the difference between a pointer and a reference in C++?,FALSE,"pointer,c++,pointer reference,difference pointer"
Write a C++ function to reverse a string.,TRUE,"reverse string,c++,function reverse,reverse"
What are the main differences between HTML and XHTML?,FALSE,"html xhtml,differences html,xhtml,html"
Describe how you would create a simple HTML form to collect user information.,FALSE,"html form,simple html,html"
"What is normalization in MySQL, and why is it important?",FALSE,"normalization,normalization mysql,mysql important"
Write a SQL query to retrieve the top 5 highest salaries from a 'Employees' table.,FALSE,"sql,salaries,salaries employees,highest salaries"
Can you explain what a class is in C++ and how you would define one?,FALSE,"c++,class,explain class,class define"
What are some common HTML tags used for structuring a webpage?,FALSE,"html tags,html,common html"
How can you prevent SQL injection attacks in MySQL?,FALSE,"attacks mysql,prevent sql,sql injection,sql"
Explain the concept of inheritance in C++.,TRUE,"concept inheritance,c++,explain concept,inheritance"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
Describe the concept of Object-Oriented Programming (OOP).  Name and briefly explain three key principles of OOP.,TRUE,"object-oriented programming,three,programming oop,object oriented,oop"
What is a data structure? Briefly explain at least two common data structures and when you might use them.,TRUE,"data,data structure,data structures,at least two"
"What is a relational database? What are tables, rows, and columns in a relational database?",TRUE,"database tables,database,relational database"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,TRUE,"sql,join sql,left join,inner join"
What is Git?  What are some common Git commands you've used?,FALSE,"git,git commands,common git"
Explain the difference between `git commit` and `git push`.,TRUE,"commit git,git push,git commit"
Describe a typical software development lifecycle (SDLC).  Name at least three common SDLC methodologies.,TRUE,"at least three,development lifecycle,lifecycle sdlc,sdlc,sdlc methodologies"
What is polymorphism in Java? Can you give an example?,FALSE,"java,java example,polymorphism,polymorphism java"
"Walk me through one of your academic projects.  Explain the problem you were solving, your approach, the technologies used, and any challenges you encountered.",TRUE,"approach technologies,academic projects,projects explain"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What are the basic data types in your preferred programming language (e.g., Python, Java, C++)? Provide examples of when you would use each.",TRUE,"basic data,python,data types,java,programming language"
"Describe the concept of an algorithm.  Can you explain a simple algorithm, such as finding the largest number in a list?",TRUE,"algorithm explain,algorithm,simple algorithm"
"What is a relational database? What is a SQL query, and what are some basic SQL commands you know (e.g., SELECT, INSERT, UPDATE, DELETE)?",TRUE,"update,select,database sql,relational database,basic sql"
Explain the concept of normalization in databases. Why is it important?,TRUE,"concept normalization,normalization,normalization databases"
Write a simple SQL query to retrieve all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,TRUE,"students gpa,sql query,gpa,3.5,gpa greater"
"What is Git, and why is it important in software development?  Have you used Git before? If so, can you describe a common Git workflow?",FALSE,"git,git workflow,git important"
"Explain the difference between `git commit`, `git push`, and `git pull`.",TRUE,"commit git,git push,git commit"
Describe a typical software development lifecycle (SDLC). What are some common phases involved?,TRUE,"software development,development lifecycle,lifecycle sdlc,sdlc"
"Walk me through your most challenging academic project.  Explain the problem you solved, the technologies you used, and any challenges you encountered.",FALSE,"challenges encountered,challenging academic,solved technologies"
Explain the difference between `==` and `===` in JavaScript (or equivalent operators in your preferred language).,TRUE,"javascript,difference javascript,javascript equivalent"
What are the different data structures you are familiar with? Can you describe one and give an example of when you might use it?,FALSE,"data,data structures,different data"
Describe the concept of object-oriented programming (OOP) and give an example of its use in a simple program.,FALSE,"programming oop,oop example,object oriented"
"What is a relational database?  What are tables, rows, and columns?",TRUE,"database tables,database,relational database"
Write a simple SQL query to retrieve all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` SQL commands.",TRUE,"sql,delete sql,sql commands,update delete"
Describe your experience with Git.  What are some common Git commands you use?,TRUE,"experience git,git,git commands"
"What is the purpose of branching in Git?  Explain the workflow of creating a new branch, making changes, and merging it back into the main branch.",FALSE,"git explain,git,purpose branching,branching git"
Explain a typical software development lifecycle (SDLC).  What are some of the phases involved?,TRUE,"development lifecycle,lifecycle sdlc,sdlc,sdlc phases"
"Describe one of your academic projects.  Explain the problem you were solving, your approach, and the technologies you used. What challenges did you encounter and how did you overcome them?",FALSE,"projects explain,academic projects,projects,one"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What is the difference between an array and a linked list? When would you choose one over the other?,TRUE,"array linked,array,one,linked list"
"Describe the concept of Big O notation.  Give examples of O(n), O(log n), and O(n^2) algorithms.",FALSE,"big notation,log algorithms,notation examples"
What is a relational database? What are some of its advantages and disadvantages?,FALSE,"database advantages,database,relational database"
Write a SQL query to select all users from a table named 'users' where the age is greater than 25.,TRUE,"sql,users age,age greater,select users"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,TRUE,"sql,join sql,left join,inner join"
"What is Git? Explain the basic Git commands you are familiar with (e.g., `git clone`, `git add`, `git commit`, `git push`, `git pull`).",TRUE,"git explain,git,git commands,basic git"
What is a merge conflict and how would you resolve it?,FALSE,"merge,merge conflict,conflict resolve"
"Describe a typical software development lifecycle (SDLC).  What are some common methodologies (e.g., Agile, Waterfall)?",TRUE,"development lifecycle,lifecycle sdlc,sdlc,agile,methodologies agile"
"Walk me through your most challenging academic project.  What technologies did you use? What problems did you encounter, and how did you overcome them?",TRUE,"project technologies,academic project,challenging academic"
Can you explain the difference between a compiler and an interpreter?  Give an example of a language that uses each.,TRUE,"compiler interpreter,interpreter example,interpreter"
Describe your understanding of data structures.  Can you give examples of a few common ones and when you might use them?,FALSE,"structures examples,data structures,understanding data"
What are some key features of JavaScript that make it suitable for front-end development?  Can you give an example of using one of these features?,FALSE,"javascript,features javascript,javascript make"
"Have you worked with any databases before? If so, which ones?  Can you describe a simple SQL query you might use to retrieve data?",FALSE,"sql,worked databases,databases ones,databases"
"Tell me about a front-end project you are most proud of.  What were the challenges, and how did you overcome them? What technologies did you use?",FALSE,"proud challenges,overcome technologies,project proud"
"In your project, did you work in a team? If so, describe your role and how you collaborated with others. What did you learn from the team experience?",FALSE,"team role,team experience,role collaborated"
Describe a time you had to explain a technical concept to someone who didn't have a technical background. How did you approach it?,FALSE,"technical background,technical concept,explain technical"
Why are you interested in this role and our company?,FALSE,"interested role,role,role company"
Discuss the significance of header files in C programming. What are the implications of using them?,FALSE,"header files,header,files programming"
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",TRUE,"css javascript,javascript,html,difference html"
What are some common tools or techniques you would use for debugging JavaScript code?,TRUE,"use debugging,debugging javascript,debugging"
Describe your understanding of responsive web design. What are some common approaches to achieving it?,FALSE,"responsive,responsive web,understanding responsive"
"Are you familiar with any JavaScript frameworks or libraries (e.g., React, Angular, Vue)? If so, which one(s) and what is your experience level?",FALSE,"javascript,familiar javascript,one(s,javascript frameworks"
What is your experience with version control systems like Git? Can you describe a scenario where you used Git for a project?,TRUE,"git scenario,git,git project,like git"
Explain the concept of DOM manipulation.  Give a simple example of how you might use JavaScript to change something on a webpage.,FALSE,"use javascript,javascript,dom manipulation,dom"
"Tell me about a frontend project you've worked on (academic or personal).  Walk me through the challenges you faced, your solutions, and what you learned from the experience.",FALSE,"frontend,frontend project,tell frontend"
"Why are you interested in this Frontend Engineer role, and what are your career aspirations?",FALSE,"engineer,frontend engineer,engineer role"
"Describe a time you worked on a team project. What was your role, and how did you contribute to the team's success?  Were there any conflicts, and how did you handle them?",FALSE,"worked team,team project,project role"
Tell me about a time you failed. What did you learn from that experience?,FALSE,"failed,learn experience,failed did"
How do you handle pressure and tight deadlines?,TRUE,"deadlines,handle pressure,tight deadlines"
What are your preferred ways of learning and staying up-to-date with new technologies in frontend development?,FALSE,"frontend,technologies frontend,frontend development"
What is the difference between a pointer and a normal variable in C?,FALSE,"pointer,pointer normal,difference pointer"
Can you explain how memory allocation works in C? What are malloc() and free() used for?,FALSE,"explain memory,memory allocation,malloc free"
What is the purpose of the 'static' keyword in C? How does it affect variable scope and lifetime?,FALSE,"static keyword,purpose static,static"
Describe the lifecycle of a C program from start to finish. What are the key stages?,FALSE,"program start,lifecycle program,lifecycle"
Could you explain the difference between structure (struct) and union in C?,FALSE,"structure struct,struct union,struct"
How does the preprocessor work in C? What are its common directives?,FALSE,"preprocessor work,preprocessor,does preprocessor"
"What are function pointers, and how are they used in C?",FALSE,"pointers used,pointers,function pointers"
Explain the concept of segmentation and fragmentation in relation to memory management in C.,FALSE,"memory management,fragmentation,segmentation fragmentation"
What is undefined behavior in C? Can you provide some examples?,FALSE,"undefined,behavior,undefined behavior"
Explain the concept of method overloading and method overriding in Java.,TRUE,"java,method overriding,method overloading,overloading method"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",TRUE,"algorithm,algorithm like,algorithm simple"
"What are the basic data types commonly used in programming? (e.g., integers, floats, strings, booleans)",TRUE,"types commonly,basic data,data types"
"In Python, explain the difference between a list and a tuple. When would you choose one over the other?",TRUE,"list tuple,tuple choose,one,python explain"
Explain the concept of function in Python and give a simple example of a function that takes two numbers as input and returns their sum.,FALSE,"python,two,function python,example function,python simple"
What is a relational database?  What is a SQL query? Give a simple example of a SQL query to select all rows from a table named 'Students'.,TRUE,"database sql,example sql,sql,relational database"
"Can you briefly describe one of your academic projects?  Focus on your role, the technologies used, and any challenges you faced and how you overcame them.",FALSE,"projects focus,academic projects,projects"
Can you explain the difference between lists and tuples in Python?,TRUE,"tuples python,lists tuples,tuples,python"
What is list comprehension and can you provide a brief example of its use?,FALSE,"comprehension provide,comprehension,list comprehension"
"How do Python decorators work, and why are they used?",TRUE,"decorators,python decorators,decorators work"
What are the main differences between Python 2 and Python 3?,FALSE,"python python,python,differences python,python 2 and python 3"
Explain the concept of lambda functions in Python. When would you use them?,FALSE,"lambda,lambda functions,concept lambda,python"
What are Python's built-in data types? Can you give examples?,FALSE,"python,data types,python built,types examples"
Can you describe what an exception is in Python and how exception handling works?,FALSE,"exception python,python,exception handling,python exception"
What is the purpose of the 'self' parameter in class methods?,FALSE,"class methods,self parameter,parameter class"
How does the with statement help in resource management in Python?,FALSE,"resource management,python,management python"
Can you explain what generators are in Python and how they differ from regular functions?,FALSE,"python,generators python,generators,explain generators"
Explain the difference between an `if` statement and a `switch` statement.  When would you prefer to use one over the other?,TRUE,"statement switch,switch,switch statement,one"
What is the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language)?,TRUE,"javascript,difference javascript,javascript equivalent"
Describe the concept of a data structure. Give examples of at least three common data structures and when you might use them.,FALSE,"structure examples,data structure,data structures,at least three"
"Explain the concept of recursion.  Give a simple example of a recursive function (e.g., calculating a factorial).",FALSE,"example recursive,recursive function,recursion"
What are exceptions in Java and how are they handled?,FALSE,"exceptions,java,java handled,exceptions java"
What is a relational database? What are some examples of relational database management systems (RDBMS)?,TRUE,"database management,database examples,relational database"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
"Explain the difference between `SELECT`, `INSERT`, `UPDATE`, and `DELETE` in SQL.",TRUE,"delete sql,update delete,sql,select insert"
What is a database index?  Why would you use one?,FALSE,"database index,index use,index"
Explain the concept of database normalization. Why is it important?,TRUE,"normalization,normalization important,database normalization"
Describe your experience with Git.  What are some common Git commands you use?,TRUE,"experience git,git,git commands"
Explain the difference between `git merge` and `git rebase`.,TRUE,"merge git,git rebase,git merge"
What is a branching strategy in Git?  Describe a common branching strategy you are familiar with.,FALSE,"branching,git,strategy git,branching strategy"
"Walk me through one of your academic projects.  Describe the problem you were solving, your approach, and the technologies you used.",TRUE,"approach technologies,academic projects,projects"
"What was your role in this project?  What challenges did you face, and how did you overcome them?",TRUE,"project challenges,role project,challenges"
"Explain the difference between HTML, CSS, and JavaScript in simple terms.  Give an example of how they work together.",TRUE,"css javascript,javascript,html,difference html"
"What are some common HTML tags you've used, and what do they do?",FALSE,"html tags,html,common html"
Describe your understanding of CSS selectors and how you would use them to style specific elements on a webpage.,FALSE,"selectors use,css,css selectors,understanding css"
Explain the concept of DOM manipulation in JavaScript.  Can you provide a simple example?,FALSE,"javascript,manipulation javascript,dom manipulation,dom"
"Have you worked with any JavaScript frameworks or libraries (e.g., React, Angular, Vue.js)? If so, which one(s) and what are your experiences?",FALSE,"angular,javascript frameworks,vue.js,one(s,javascript"
"What is responsive web design, and why is it important?  How would you approach making a website responsive?",TRUE,"responsive,responsive web,website responsive"
"Explain your understanding of version control systems, particularly Git. Have you used Git in your projects?",TRUE,"version control,git,git projects,used git"
Describe your experience with debugging JavaScript code. What tools or techniques do you find helpful?,FALSE,"experience debugging,debugging javascript,debugging"
"Are you familiar with any front-end build tools (e.g., Webpack, Parcel)? If so, what are their benefits?",FALSE,"webpack,build tools,tools webpack,webpack, parcel"
"Walk me through one of your academic projects.  Describe your role, the technologies used, and any challenges you faced.",TRUE,"academic projects,projects,technologies"
"In a group project, how did you handle disagreements or conflicts among team members?  What was your role in resolving those conflicts?",FALSE,"disagreements conflicts,conflicts team,handle disagreements"
"What is the difference between JDK, JRE, and JVM?",TRUE,"jdk jre,jre jvm,jre,difference jdk,jdk"
"Why are you interested in this Frontend Engineer role, and what are your career goals?",FALSE,"engineer,frontend engineer,engineer role"
Describe your preferred work style and how you work best in a team environment.,FALSE,"team environment,team,work style"
Tell me about a time you had to learn a new technology or skill quickly. How did you approach it?,FALSE,"technology skill,new technology,learn new"
What are your strengths and weaknesses as a developer?,FALSE,"developer,weaknesses developer,strengths weaknesses"
Explain the difference between `==` and `===` in JavaScript (or the equivalent in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
What are the differences between an array and a linked list? When would you choose one over the other?,TRUE,"array linked,array,one,linked list"
"Describe the concept of recursion.  Give a simple example (e.g., calculating a factorial).",FALSE,"recursion simple,concept recursion,recursion"
What is a relational database?  What are some common types of relational database management systems (RDBMS)?,TRUE,"systems rdbms,database management,relational database"
Write a simple SQL query to select all rows from a table named 'users' where the 'age' column is greater than 25.,TRUE,"simple sql,sql,age column,users age"
Explain the difference between `INNER JOIN` and `LEFT JOIN` in SQL.,TRUE,"sql,join sql,left join,inner join"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Explain the difference between `git add`, `git commit`, and `git push`.",TRUE,"commit git,git push,git commit"
"Describe a typical software development lifecycle (SDLC) – for example, Agile or Waterfall. What are the stages involved?",FALSE,"development lifecycle,lifecycle sdlc,sdlc,software development,agile"
"Walk me through one of your academic projects. Explain your role, the technologies used, and any challenges you faced.",TRUE,"technologies used,academic projects,technologies"
Explain the difference between compilation and interpretation in the context of programming languages. Give examples of languages that use each approach.,TRUE,"programming languages,compilation interpretation,difference compilation"
"What are the basic data types commonly used in programming?  Explain with examples in a language you are familiar with (e.g., Python, Java, C++).",FALSE,"basic data,python,data types,java,programming explain"
"Describe the concept of an algorithm and provide a simple example of an algorithm to solve a common problem (e.g., finding the largest number in a list).",FALSE,"example algorithm,algorithm,algorithm solve"
"What is a relational database?  What are tables, rows, and columns in a relational database?",TRUE,"database tables,database,relational database"
Write a simple SQL query to select all rows from a table named 'Students' where the 'GPA' is greater than 3.5.,TRUE,"students gpa,gpa,select rows,3.5,gpa greater"
"Explain the difference between 'SELECT', 'INSERT', 'UPDATE', and 'DELETE' SQL commands.",TRUE,"delete sql,sql commands,sql,select insert"
"What is Git, and why is it important in software development?",TRUE,"git,software development,git important"
"Explain the difference between `git clone`, `git add`, `git commit`, and `git push`.",TRUE,"difference git,git push,git clone"
Describe a situation where you would use `git branch` and `git merge`.,FALSE,"branch git,git branch,git merge"
"Walk me through your most significant academic project.  Describe the problem you solved, your approach, the technologies used, and any challenges you encountered.",FALSE,"approach technologies,academic project,technologies"
Explain the difference between `==` and `===` in JavaScript (or the equivalent operators in your preferred language).  Give an example.,TRUE,"javascript,difference javascript,javascript equivalent"
Describe the concept of object-oriented programming (OOP) and list at least three key principles of OOP. Give a simple example.,FALSE,"at least three,programming oop,oop list,object oriented,oop"
What is a data structure?  Name at least two common data structures and describe a scenario where each would be useful.,FALSE,"common data,data structure,data structures,at least two"
What is a relational database?  What is a SQL query? Give a simple example of a SELECT statement.,FALSE,"database sql,database,sql,relational database"
Explain the difference between `WHERE` and `HAVING` clauses in SQL.,FALSE,"having clauses,sql,difference having,clauses sql"
Describe the concept of database normalization. Why is it important?,TRUE,"normalization,normalization important,database normalization"
Explain what Git is and why it's important in software development.,TRUE,"git,explain git,git important"
"Describe the difference between `git pull`, `git fetch`, and `git merge`.",FALSE,"difference git,git fetch,git merge"
What are the basic steps involved in a typical software development lifecycle (SDLC)?,TRUE,"software development,development lifecycle,lifecycle sdlc,sdlc"
"Can you walk me through one of your academic projects?  Explain the problem you solved, your approach, the technologies you used, and what you learned from the experience.",TRUE,"projects explain,academic projects,one,approach technologies"
Explain the difference between compilation and interpretation in the context of programming languages.  Give an example of a compiled language and an interpreted language.,TRUE,"compiled language,compilation interpretation,interpreted language"
"What is an algorithm? Can you describe a simple algorithm, like finding the largest number in a list?",TRUE,"algorithm,algorithm like,algorithm simple"
"What is a variable? What are the different data types you are familiar with (e.g., integers, strings, booleans)?",FALSE,"variable different,data types,variable"
"In Python, what is the difference between a list and a tuple?  When would you choose one over the other?",TRUE,"list tuple,python difference,one,tuple"
Explain the concept of loops in Python (for and while loops). Provide a simple example of each.,TRUE,"loops python,loops,python loops"
What is a database?  What is the purpose of using SQL (Structured Query Language)?,FALSE,"sql structured,database,sql,database purpose,structured query language"
